iter	Passed	Remaining
428	2614	432
429	2620	426
430	2625	420
431	2631	414
432	2637	408
433	2643	401
434	2648	395
435	2654	389
436	2660	383
437	2665	377
438	2671	371
439	2677	365
440	2683	359
441	2689	352
442	2694	346
443	2699	340
444	2705	334
445	2711	328
446	2716	322
447	2722	316
448	2728	309
449	2733	303
450	2739	297
451	2745	291
452	2751	285
453	2756	279
454	2762	273
455	2768	267
456	2774	261
457	2779	254
458	2785	248
459	2791	242
460	2796	236
461	2802	230
462	2807	224
463	2813	218
464	2819	212
465	2824	206
466	2830	200
467	2836	193
468	2841	187
469	2846	181
470	2852	175
471	2858	169
472	2864	163
473	2869	157
474	2875	151
475	2881	145
476	2887	139
477	2893	133
478	2900	127
479	2906	121
480	2912	115
481	2918	108
482	2923	102
483	2929	96
484	2935	90
485	2940	84
486	2946	78
487	2952	72
488	2958	66
489	2964	60
490	2970	54
491	2975	48
492	2981	42
493	2987	36
494	2992	30
495	2998	24
496	3003	18
497	3009	12
498	3015	6
499	3021	0
